psu,entercollege,over475,loantakeup
394.5,0,0,0
428.5,1,0,0
511,1,1,1
563.5,1,1,1
451,0,0,0
526.5,1,1,1
349,0,0,0
324,0,0,0
592.5,1,1,0
328.5,0,0,0
602,1,1,1
485,0,1,1
458,0,0,0
484,0,1,0
483,0,1,1
543,0,1,1
336.5,0,0,0
505.5,1,1,0
556,1,1,1
600,0,1,1
512,1,1,1
513,1,1,1
566.5,1,1,1
366,0,0,0
406,0,0,0
518,1,1,1
475,1,1,1
505,1,1,1
548.5,1,1,1
599,0,1,1
668,1,1,1
492.5,1,1,1
447,1,0,0
489,1,1,1
390,0,0,0
469.5,0,0,0
511,0,1,1
353,0,0,0
431,0,0,0
440.5,0,0,0
400.5,0,0,0
362,0,0,0
333.5,0,0,0
335,0,0,0
337.5,0,0,0
480,0,1,1
452.5,0,0,0
529,1,1,1
484.5,0,1,1
472.5,0,0,0
429.5,0,0,0
436.5,0,0,0
423.5,0,0,0
483.5,1,1,1
467.5,0,0,0
473,0,0,0
327,0,0,0
346,1,0,0
352,0,0,0
439.5,0,0,0
512,0,1,1
433.5,0,0,0
455,1,0,0
480,0,1,0
396,0,0,0
480,0,1,1
623.5,1,1,1
555,1,1,1
538.5,0,1,1
409.5,0,0,0
500,1,1,1
579.5,1,1,0
590.5,1,1,1
465,1,0,0
378,0,0,0
378,0,0,0
485,0,1,0
322,0,0,0
390,0,0,0
436,0,0,0
531.5,1,1,1
368.5,0,0,0
368.5,0,0,0
406.5,0,0,0
515,0,1,1
408.5,0,0,0
432,0,0,0
532,0,1,1
425.5,0,0,0
454,1,0,0
461.5,1,0,0
456.5,1,0,0
397,0,0,0
459.5,0,0,0
504,1,1,1
520,1,1,1
414,0,0,0
379.5,0,0,0
466,1,0,0
540,0,1,0
353,0,0,0
435.5,0,0,0
379.5,0,0,0
368.5,0,0,0
469.5,0,0,0
409.5,0,0,0
496.5,0,1,1
437,0,0,0
442.5,0,0,0
429,0,0,0
494.5,1,1,1
492,1,1,0
570.5,1,1,1
396,0,0,0
461.5,0,0,0
359.5,0,0,0
559.5,1,1,1
460.5,0,0,0
424.5,0,0,0
619,1,1,0
359.5,0,0,0
495,0,1,0
547,1,1,1
439,0,0,0
370.5,0,0,0
426,0,0,0
592.5,1,1,0
487,0,1,1
538.5,1,1,1
321.5,0,0,0
410,0,0,0
446,0,0,0
335,0,0,0
409.5,0,0,0
353,1,0,0
665,1,1,1
398.5,0,0,0
511.5,0,1,1
373,0,0,0
346,0,0,0
457.5,0,0,0
375.5,0,0,0
407,0,0,0
460,0,0,0
442,0,0,0
301.5,0,0,0
365.5,0,0,0
414,0,0,0
442.5,0,0,0
401.5,0,0,0
440,0,0,0
399,0,0,0
529,1,1,0
392,0,0,0
423,0,0,0
484.5,0,1,0
505.5,0,1,0
503.5,1,1,1
548,0,1,1
347.5,0,0,0
379,0,0,0
466,0,0,0
424.5,0,0,0
433,0,0,0
552.5,0,1,0
367,0,0,0
408.5,0,0,0
447,0,0,0
475,1,1,1
414,0,0,0
443,0,0,0
376,0,0,0
409.5,0,0,0
487,0,1,0
357.5,0,0,0
399.5,0,0,0
443,0,0,0
473.5,0,0,0
428.5,0,0,0
536,0,1,1
459,0,0,0
402,0,0,0
520,1,1,0
522,0,1,1
455,0,0,0
341.5,0,0,0
576,1,1,1
570,1,1,1
504.5,0,1,1
308,0,0,0
371.5,0,0,0
467.5,0,0,0
431.5,0,0,0
380.5,0,0,0
323,0,0,0
329.5,0,0,0
381.5,0,0,0
391,0,0,0
464,0,0,0
396.5,0,0,0
541.5,1,1,1
565,0,1,0
471.5,1,0,0
433.5,0,0,0
384.5,0,0,0
377,0,0,0
349.5,0,0,0
333,0,0,0
372,0,0,0
304,0,0,0
690,1,1,1
484,1,1,1
322,0,0,0
519.5,1,1,1
391.5,0,0,0
398.5,0,0,0
470.5,1,0,0
412.5,0,0,0
553,0,1,1
304,0,0,0
408,0,0,0
458,0,0,0
491,1,1,0
379.5,0,0,0
426,0,0,0
446,0,0,0
465.5,1,0,0
458,0,0,0
360.5,1,0,0
324,0,0,0
306,0,0,0
615,1,1,1
461.5,1,0,0
622.5,1,1,1
452.5,1,0,0
609.5,1,1,1
511.5,0,1,1
488.5,0,1,1
480,1,1,1
478.5,0,1,1
557,0,1,1
417,0,0,0
319.5,0,0,0
442.5,1,0,0
